Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000160072.19	ATAD3B	chr1	+	1471769	1496202	4.747181	1.929893	4.355541
ENSG00000179403.11	VWA1	chr1	+	1434861	1442882	80.857277	45.627041	102.974838
ENSG00000205090.8	TMEM240	chr1	-	1535174	1540453	0.594074	0.464187	1.047615
ENSG00000197785.13	ATAD3A	chr1	+	1512151	1534687	10.287851	10.459264	23.605322
ENSG00000228594.3	FNDC10	chr1	-	1598012	1600096	17.776020	7.226567	16.309507
ENSG00000160075.11	SSU72	chr1	-	1541673	1574869	48.267384	71.145004	160.565857
ENSG00000189409.13	MMP23B	chr1	+	1632095	1634654	1.679010	0.883873	1.994797
ENSG00000197530.12	MIB2	chr1	+	1615415	1630610	6.979780	9.697578	21.886288
ENSG00000248333.8	CDK11B	chr1	-	1635227	1659012	34.026413	19.314821	43.591267
ENSG00000189339.11	SLC35E2B	chr1	-	1659529	1692728	19.455664	12.610987	28.461504
ENSG00000008128.22	CDK11A	chr1	-	1702730	1724324	23.857819	13.621621	30.742390
ENSG00000215790.6	SLC35E2	chr1	-	1724838	1745992	4.670562	4.567997	10.309430
ENSG00000008130.15	NADK	chr1	-	1751232	1780069	37.995026	21.137484	47.704800
ENSG00000178821.12	TMEM52	chr1	-	1917590	1919273	0.948884	0.479260	1.081633
ENSG00000142609.17	CFAP74	chr1	-	1921951	2003837	0.000000	0.000000	0.000000
ENSG00000187730.8	GABRD	chr1	+	2019298	2030758	5.942473	3.677392	8.299439
ENSG00000078369.17	GNB1	chr1	-	1785285	1891117	330.251129	143.867691	324.692352
ENSG00000067606.16	PRKCZ	chr1	+	2050470	2185395	0.732882	8.969903	20.244011
ENSG00000162585.16	FAAP20	chr1	-	2184461	2194775	15.707882	36.800133	83.053543
ENSG00000157933.9	SKI	chr1	+	2228695	2310119	43.229286	17.574200	39.662895
ENSG00000116151.13	MORN1	chr1	-	2321253	2391707	1.955081	6.382421	14.404370
ENSG00000197921.5	HES5	chr1	-	2528745	2530245	0.163859	0.066614	0.150341
ENSG00000149527.17	PLCH2	chr1	+	2425980	2505526	3.105740	6.194446	13.980133
ENSG00000157881.13	PANK4	chr1	-	2508533	2526628	12.934070	5.258146	11.867016
ENSG00000157916.19	RER1	chr1	+	2391775	2405444	29.724962	31.600941	71.319588
ENSG00000157911.9	PEX10	chr1	-	2403964	2413797	35.675556	17.341318	39.137306
ENSG00000157873.17	TNFRSF14	chr1	+	2555639	2565382	24.011877	17.078690	38.544582
ENSG00000215912.12	TTC34	chr1	-	2635976	2801717	0.217722	0.088512	0.199760
ENSG00000157870.14	FAM213B	chr1	+	2586750	2591468	38.863083	26.292765	59.339664
ENSG00000142606.15	MMEL1	chr1	-	2590639	2632990	10.336512	4.639742	10.471350
ENSG00000142611.16	PRDM16	chr1	+	3069168	3438621	0.071389	0.029987	0.067678
ENSG00000130762.14	ARHGEF16	chr1	+	3454426	3481113	8.947023	8.003341	18.062592
ENSG00000162591.15	MEGF6	chr1	-	3489920	3611495	17.925283	8.095530	18.270657
ENSG00000158109.14	TPRG1L	chr1	+	3625002	3630127	78.470581	32.688648	73.774414
ENSG00000116213.15	WRAP73	chr1	-	3630767	3652761	12.910359	6.343316	14.316115
ENSG00000078900.14	TP73	chr1	+	3652520	3736201	0.278017	0.480699	1.084881
ENSG00000235169.7	SMIM1	chr1	+	3772788	3775982	19.135229	13.668755	30.848764
ENSG00000130764.9	LRRC47	chr1	-	3778558	3796504	33.590488	13.655696	30.819290
ENSG00000169598.15	DFFB	chr1	+	3857267	3885429	1.960339	0.824225	1.860179
ENSG00000116198.12	CEP104	chr1	-	3812081	3857214	7.845285	5.644135	12.738147
ENSG00000198912.10	C1orf174	chr1	-	3889125	3900285	20.162066	8.196577	18.498707
ENSG00000196581.10	AJAP1	chr1	+	4654732	4792534	0.325063	0.140158	0.316320
ENSG00000116254.17	CHD5	chr1	-	6101793	6180123	0.000000	0.000000	0.000000
ENSG00000131697.17	NPHP4	chr1	-	5862818	5992473	6.269989	2.860826	6.456546
ENSG00000069424.14	KCNAB2	chr1	+	5991466	6101193	0.195533	3.048043	6.879072
ENSG00000158292.6	GPR153	chr1	-	6247346	6260975	9.126163	3.710101	8.373260
ENSG00000116251.9	RPL22	chr1	-	6181269	6209389	79.980118	233.195175	526.293945
ENSG00000158286.12	RNF207	chr1	+	6206176	6221299	0.515499	0.209568	0.472971
ENSG00000116237.15	ICMT	chr1	-	6221193	6235940	59.493092	24.185999	54.584938
ENSG00000069812.11	HES2	chr1	-	6412418	6424670	2.896795	2.357119	5.319739
ENSG00000097021.19	ACOT7	chr1	-	6264269	6394391	9.346119	76.239441	172.063416
ENSG00000173662.20	TAS1R1	chr1	+	6555181	6579757	0.000000	0.000000	0.000000
ENSG00000162408.10	NOL9	chr1	-	6521347	6554535	3.146539	1.279177	2.886951
ENSG00000204859.12	ZBTB48	chr1	+	6580001	6589280	11.500855	5.937448	13.400117
ENSG00000187017.15	ESPN	chr1	+	6424788	6461370	24.045340	33.045650	74.580124
ENSG00000215788.9	TNFRSF25	chr1	-	6461151	6466195	0.609644	0.261509	0.590195
ENSG00000171680.21	PLEKHG5	chr1	-	6466092	6520061	1.831188	6.515644	14.705039
ENSG00000162413.16	KLHL21	chr1	-	6590724	6614607	4.051840	6.442826	14.540697
ENSG00000116273.5	PHF13	chr1	+	6613685	6624033	25.025537	10.173747	22.960943
ENSG00000041988.15	THAP3	chr1	+	6624866	6635586	5.756086	5.203328	11.743297
ENSG00000007923.15	DNAJC11	chr1	-	6634168	6701924	28.880276	13.263651	29.934492
ENSG00000171735.18	CAMTA1	chr1	+	6785324	7769706	0.266106	27.115561	61.196617
ENSG00000049245.12	VAMP3	chr1	+	7771269	7781432	82.493195	45.107590	101.802498
ENSG00000049249.8	TNFRSF9	chr1	-	7915894	7943165	0.012232	0.014436	0.032581
ENSG00000049246.14	PER3	chr1	+	7784320	7845177	12.910695	5.853723	13.211160
ENSG00000049247.13	UTS2	chr1	-	7843083	7853512	0.238973	0.108680	0.245278
ENSG00000116288.12	PARK7	chr1	+	7954291	7985505	175.336624	162.840958	367.512817
ENSG00000116285.12	ERRFI1	chr1	-	8004404	8026308	25.863302	15.219676	34.349010
ENSG00000162426.14	SLC45A1	chr1	+	8317826	8344167	4.128500	1.947505	4.395290
ENSG00000142599.17	RERE	chr1	-	8352397	8817643	6.717674	23.990608	54.143967
ENSG00000197241.3	SLC2A7	chr1	-	9003300	9026345	0.000000	0.000000	0.000000
ENSG00000142583.17	SLC2A5	chr1	-	9035107	9088478	4.797307	3.083523	6.959148
ENSG00000180758.11	GPR157	chr1	-	9100305	9129170	3.476353	1.413258	3.189556
ENSG00000049239.12	H6PD	chr1	+	9234775	9271337	16.953966	10.721386	24.196903
ENSG00000074800.13	ENO1	chr1	-	8861002	8879249	1077.109863	590.228149	1332.075195
ENSG00000171621.13	SPSB1	chr1	+	9292880	9369532	2.002411	16.810354	37.938980
ENSG00000171612.6	SLC25A33	chr1	+	9539482	9585179	3.545926	1.441542	3.253389
ENSG00000188807.12	TMEM201	chr1	+	9588922	9614873	6.942301	4.793559	10.818496
ENSG00000171608.15	PIK3CD	chr1	+	9651732	9729114	5.850123	2.664737	6.013998
ENSG00000171603.16	CLSTN1	chr1	-	9729026	9824526	231.947617	121.729309	274.728699
ENSG00000178585.14	CTNNBIP1	chr1	-	9848276	9910336	6.939108	20.597986	46.487221
ENSG00000162441.11	LZIC	chr1	-	9922113	9943407	9.438976	9.012891	20.341028
ENSG00000173614.13	NMNAT1	chr1	+	9943428	9985501	5.899185	2.983631	6.733702
ENSG00000162444.11	RBP7	chr1	+	9997216	10016020	24.033022	9.770254	22.050310
ENSG00000130939.18	UBE4B	chr1	+	10032832	10181239	24.272661	13.498811	30.465221
ENSG00000054523.17	KIF1B	chr1	+	10210805	10381603	5.074719	8.773340	19.800392
ENSG00000251503.8	CENPS-CORT	chr1	+	10430102	10452153	3.293033	5.615226	12.672902
ENSG00000175279.21	CENPS	chr1	+	10430443	10442809	4.018123	6.880998	15.529599
ENSG00000241563.3	CORT	chr1	+	10449719	10451902	0.765821	0.311333	0.702641
ENSG00000142657.20	PGD	chr1	+	10398592	10420144	118.209038	66.108871	149.199905
ENSG00000160049.11	DFFA	chr1	-	10456522	10472526	16.179779	14.289011	32.248611
ENSG00000142655.12	PEX14	chr1	+	10474887	10630758	32.856979	14.581208	32.908062
ENSG00000130940.14	CASZ1	chr1	-	10636604	10796650	12.111469	6.656844	15.023710
ENSG00000120948.16	TARDBP	chr1	+	11012344	11026420	9.794115	10.795147	24.363371
ENSG00000277726.4	AL109811.4	chr1	+	11022144	11030526	0.876584	0.356362	0.804266
ENSG00000009724.16	MASP2	chr1	-	11026523	11047233	0.000000	0.000000	0.000000
ENSG00000116649.9	SRM	chr1	-	11054589	11060024	69.212288	39.726383	89.657753
ENSG00000171824.13	EXOSC10	chr1	-	11066618	11099881	37.923077	15.417043	34.794441
ENSG00000198793.12	MTOR	chr1	-	11106535	11262507	23.047235	13.528192	30.531528
ENSG00000171819.4	ANGPTL7	chr1	+	11189341	11195981	0.000000	0.000000	0.000000
ENSG00000120942.13	UBIAD1	chr1	+	11273206	11296049	18.314564	10.085842	22.762554
ENSG00000204624.7	DISP3	chr1	+	11479238	11537584	1.127534	0.520349	1.174366
ENSG00000116663.10	FBXO6	chr1	+	11664124	11674354	9.533880	3.875852	8.747340
ENSG00000116661.10	FBXO2	chr1	-	11648367	11655785	77.164711	34.306049	77.424698
ENSG00000132879.13	FBXO44	chr1	+	11654375	11663327	8.432098	8.301065	18.734524
ENSG00000162490.6	DRAXIN	chr1	+	11691729	11725857	0.000000	0.000000	0.000000
ENSG00000116670.14	MAD2L2	chr1	-	11674480	11691650	18.854359	17.938131	40.484245
ENSG00000177674.15	AGTRAP	chr1	+	11736084	11750771	165.211044	90.916389	205.187546
ENSG00000215910.7	C1orf167	chr1	+	11761787	11789585	2.548648	1.663920	3.755272
ENSG00000177000.11	MTHFR	chr1	-	11785723	11806920	11.634618	8.922783	20.137665
ENSG00000011021.21	CLCN6	chr1	+	11806096	11843144	3.405318	1.613250	3.640914
ENSG00000116685.15	KIAA2013	chr1	-	11919591	11926428	62.623596	29.748465	67.138771
ENSG00000083444.16	PLOD1	chr1	+	11934694	11975537	131.877441	61.441334	138.665833
ENSG00000116691.10	MIIP	chr1	+	12019466	12032045	16.188494	6.581182	14.852952
ENSG00000120949.14	TNFRSF8	chr1	+	12063377	12144207	0.476726	0.196540	0.443567
ENSG00000116688.16	MFN2	chr1	+	11980181	12013514	75.340340	32.400322	73.123695
ENSG00000028137.18	TNFRSF1B	chr1	+	12167003	12209228	23.760557	9.688338	21.865435
ENSG00000277058.2	HNRNPCL3	chr1	+	13060869	13062229	0.000000	0.000000	0.000000
ENSG00000179172.9	HNRNPCL1	chr1	-	12847408	12848725	0.297402	0.120904	0.272866
ENSG00000275774.2	HNRNPCL2	chr1	-	13115496	13116854	0.000000	0.000000	0.000000
ENSG00000179412.10	HNRNPCL4	chr1	-	13164586	13165467	0.006317	0.002568	0.005796
ENSG00000162494.5	LRRC38	chr1	-	13474977	13514048	0.119511	0.048585	0.109651
ENSG00000162496.8	DHRS3	chr1	-	12567910	12617731	19.460325	10.690413	24.126997
ENSG00000048707.13	VPS13D	chr1	+	12230067	12512047	4.683149	5.929045	13.381153
ENSG00000162493.16	PDPN	chr1	+	13583465	13617957	0.685534	3.097140	6.989879
ENSG00000116731.22	PRDM2	chr1	+	13700198	13825079	1.486617	2.861286	6.457584
ENSG00000171729.13	TMEM51	chr1	+	15152532	15220480	0.221325	2.861684	6.458482
ENSG00000189337.16	KAZN	chr1	+	13892792	15118043	0.190790	0.521106	1.176074
ENSG00000142621.19	FHAD1	chr1	+	15247272	15398126	0.083328	0.106146	0.239559
ENSG00000142634.12	EFHD2	chr1	+	15409895	15430343	44.540501	18.945908	42.758675
ENSG00000215704.9	CELA2B	chr1	+	15476101	15491400	0.000000	0.000000	0.000000
ENSG00000132906.17	CASP9	chr1	-	15490832	15526534	4.129241	4.403234	9.937580
ENSG00000116138.12	DNAJC16	chr1	+	15526813	15576092	9.000157	4.821256	10.881005
ENSG00000116771.5	AGMAT	chr1	-	15572353	15585110	0.085600	0.034799	0.078538
ENSG00000162461.7	SLC25A34	chr1	+	15736405	15741396	0.105827	0.043022	0.097096
ENSG00000197312.11	DDI2	chr1	+	15617500	15669044	12.378506	5.032290	11.357285
ENSG00000215695.1	RSC1A1	chr1	+	15659869	15661722	0.352961	0.143491	0.323842
ENSG00000116786.11	PLEKHM2	chr1	+	15684332	15734769	42.515163	17.748735	40.056801
ENSG00000233954.6	UQCRHL	chr1	-	15807169	15809348	2.170183	0.882254	1.991144
ENSG00000162458.12	FBLIM1	chr1	+	15756607	15786594	9.830494	13.869609	31.302069
ENSG00000065526.10	SPEN	chr1	+	15847864	15940460	12.142447	6.468987	14.599740
ENSG00000116809.11	ZBTB17	chr1	-	15941869	15976132	17.133179	7.183360	16.211994
ENSG00000183888.4	C1orf64	chr1	+	16004236	16008807	20.901611	8.497228	19.177240
ENSG00000186510.11	CLCNKA	chr1	+	16021871	16034050	0.000000	0.000000	0.000000
ENSG00000184908.17	CLCNKB	chr1	+	16043736	16057308	0.138369	0.064404	0.145351
ENSG00000173641.17	HSPB7	chr1	-	16014028	16019594	4.722422	2.678822	6.045785
ENSG00000185519.8	FAM131C	chr1	-	16057769	16073626	1.109046	0.450866	1.017550
ENSG00000142627.12	EPHA2	chr1	-	16124337	16156087	9.902750	4.025810	9.085778
ENSG00000142632.16	ARHGEF19	chr1	-	16198104	16212609	11.104746	5.444119	12.286733
ENSG00000132881.11	RSG1	chr1	-	16231700	16237162	8.027831	3.263591	7.365539
ENSG00000037637.10	FBXO42	chr1	-	16246839	16352454	9.943259	4.287704	9.676843
ENSG00000055070.16	SZRD1	chr1	+	16367083	16398145	36.273918	17.387068	39.240559
ENSG00000187144.11	SPATA21	chr1	-	16387117	16437424	0.000000	0.000000	0.000000
ENSG00000157191.19	NECAP2	chr1	+	16440672	16460078	48.506706	21.603222	48.755920
ENSG00000237847.2	FAM231A	chr1	+	16673003	16673512	0.032633	0.013266	0.029941
ENSG00000219481.10	NBPF1	chr1	-	16562319	16613487	8.220088	3.353179	7.567728
ENSG00000279132.2	FAM231C	chr1	-	16733952	16734461	0.032633	0.013266	0.029941
ENSG00000058453.16	CROCC	chr1	+	16921950	16972979	6.820072	2.774678	6.262120
ENSG00000117122.13	MFAP2	chr1	-	16974502	16980835	56.676189	23.179375	52.313114
ENSG00000117118.9	SDHB	chr1	-	17018722	17054170	43.804615	45.176640	101.958336
ENSG00000159363.17	ATP13A2	chr1	-	16985958	17011928	69.995598	32.442795	73.219551
ENSG00000117115.12	PADI2	chr1	-	17066761	17119435	5.736347	2.506347	5.656528
ENSG00000142623.9	PADI1	chr1	+	17205126	17246005	0.122465	0.049786	0.112362
ENSG00000142619.4	PADI3	chr1	+	17249098	17284233	0.144559	0.058768	0.132633
ENSG00000276747.1	PADI6	chr1	+	17372196	17401699	0.000000	0.000000	0.000000
ENSG00000179051.13	RCC2	chr1	-	17406760	17439724	57.414787	23.722153	53.538097
ENSG00000074964.16	ARHGEF10L	chr1	+	17539835	17697869	10.610778	5.766031	13.013251
ENSG00000117154.11	IGSF21	chr1	+	18107746	18378482	15.919198	6.471704	14.605872
ENSG00000179023.8	KLHDC7A	chr1	+	18480982	18486126	15.331195	6.232661	14.066380
ENSG00000159423.16	ALDH4A1	chr1	-	18871430	18902781	26.701759	13.017418	29.378773
ENSG00000169991.10	IFFO2	chr1	-	18904281	18956686	5.438860	2.511577	5.668333
ENSG00000127481.14	UBR4	chr1	-	19074506	19210276	21.806992	11.911930	26.883818
ENSG00000211454.13	AKR7L	chr1	-	19267130	19274151	4.956481	2.014981	4.547574
ENSG00000127463.14	EMC1	chr1	-	19215664	19251552	26.800547	13.825882	31.203381
ENSG00000053372.4	MRTO4	chr1	+	19251539	19260128	31.229229	12.695762	28.652832
ENSG00000162482.4	AKR7A3	chr1	-	19282558	19289250	44.191952	17.965555	40.546135
ENSG00000053371.12	AKR7A2	chr1	-	19303965	19312146	165.584900	72.580208	163.804947
ENSG00000040487.12	PQLC2	chr1	+	19312326	19329300	14.388138	9.483775	21.403761
ENSG00000077549.17	CAPZB	chr1	-	19338776	19485513	152.646042	121.206398	273.548492
ENSG00000162542.13	TMCO4	chr1	-	19682213	19799917	20.860277	10.437749	23.556765
ENSG00000169914.5	OTUD3	chr1	+	19882513	19912945	1.657652	0.673893	1.520897
ENSG00000188257.10	PLA2G2A	chr1	-	19975432	19980416	4.669582	2.005543	4.526273
ENSG00000127472.10	PLA2G5	chr1	+	20070208	20091168	2.717485	1.104752	2.493294
ENSG00000117215.14	PLA2G2D	chr1	-	20111939	20119566	0.134651	0.054925	0.123959
ENSG00000187980.6	PLA2G2C	chr1	-	20161253	20177424	0.111886	0.046171	0.104203
ENSG00000162543.5	UBXN10	chr1	+	20186085	20196048	15.126548	6.149465	13.878616
ENSG00000173436.13	MINOS1	chr1	+	19596977	19629821	64.182159	26.199038	59.128128
ENSG00000270136.5	MINOS1-NBL1	chr1	+	19596979	19658056	54.665104	22.223253	50.155258
ENSG00000158747.13	NBL1	chr1	+	19640554	19658456	28.399694	74.672714	168.527496
ENSG00000162545.5	CAMK2N1	chr1	-	20482391	20486220	52.424442	21.312349	48.099453
ENSG00000183114.7	FAM43B	chr1	+	20552439	20555010	1.659798	0.674765	1.522866
ENSG00000158825.5	CDA	chr1	+	20588948	20618908	4.522326	1.838482	4.149236
ENSG00000090432.6	MUL1	chr1	-	20499448	20508161	51.599262	20.976885	47.342350
ENSG00000117245.12	KIF17	chr1	-	20664014	20718017	0.685944	0.287924	0.649810
ENSG00000189410.11	SH2D5	chr1	-	20719732	20732837	0.844150	0.405328	0.914776
ENSG00000158828.7	PINK1	chr1	+	20633455	20651511	117.625191	47.818707	107.921165
ENSG00000244038.9	DDOST	chr1	-	20651767	20661544	247.542389	102.937813	232.318481
ENSG00000127483.17	HP1BP3	chr1	-	20742661	20787323	70.492226	82.110107	185.312805
ENSG00000075151.20	EIF4G3	chr1	-	20806292	21176888	21.577568	19.047577	42.988132
ENSG00000142794.18	NBPF3	chr1	+	21440128	21484900	4.716307	3.890339	8.780034
ENSG00000162551.13	ALPL	chr1	+	21509372	21578412	1.091683	0.906812	2.046568
ENSG00000117298.14	ECE1	chr1	-	21217247	21345504	11.716952	76.999008	173.777649
ENSG00000076864.19	RAP1GAP	chr1	-	21596215	21669363	2.902767	5.723140	12.916451
ENSG00000090686.15	USP48	chr1	-	21678298	21783606	8.517234	9.195407	20.752949
ENSG00000187942.11	LDLRAD2	chr1	+	21812265	21825221	18.038136	7.333126	16.549999
ENSG00000142798.17	HSPG2	chr1	-	21822245	21937297	92.627998	39.778538	89.775467
ENSG00000162552.14	WNT4	chr1	-	22117305	22143969	5.431315	4.212727	9.507627
ENSG00000070831.15	CDC42	chr1	+	22052627	22092946	22.860207	131.633896	297.082153
ENSG00000070886.11	EPHA8	chr1	+	22563564	22603594	0.059910	0.026400	0.059582
ENSG00000184677.16	ZBTB40	chr1	+	22451851	22531157	8.138123	3.425376	7.730669
ENSG00000173372.16	C1QA	chr1	+	22636506	22639608	187.917358	141.652664	319.693329
ENSG00000159189.11	C1QC	chr1	+	22643630	22648110	386.737823	182.259842	411.338928
ENSG00000173369.15	C1QB	chr1	+	22652762	22661538	57.255146	173.035690	390.521118
ENSG00000133216.16	EPHB2	chr1	+	22710839	22921500	0.792291	1.557460	3.515004
ENSG00000004487.15	KDM1A	chr1	+	23019448	23083689	72.648582	30.965727	69.885986
ENSG00000169641.13	LUZP1	chr1	-	23084023	23177808	10.306069	5.402021	12.191722
ENSG00000125945.14	ZNF436	chr1	-	23359448	23369442	16.199682	7.529160	16.992426
ENSG00000125944.19	HNRNPR	chr1	-	23304688	23344336	46.674664	59.813717	134.992477
ENSG00000007968.6	E2F2	chr1	-	23506430	23531220	0.518782	0.210903	0.475983
ENSG00000204219.9	TCEA3	chr1	-	23381061	23424740	21.576370	44.873142	101.273376
ENSG00000088280.18	ASAP3	chr1	-	23428563	23484568	27.235661	11.999085	27.080517
ENSG00000197880.8	MDS2	chr1	+	23627334	23640568	0.000000	0.000000	0.000000
ENSG00000117318.8	ID3	chr1	-	23557918	23559794	78.108711	31.753893	71.664787
ENSG00000011007.12	ELOA	chr1	+	23743155	23762059	21.320913	9.305811	21.002115
ENSG00000057757.9	PITHD1	chr1	+	23778405	23788232	22.629944	14.629598	33.017273
ENSG00000142676.12	RPL11	chr1	+	23691779	23696425	1336.096680	1248.797607	2818.388672
ENSG00000011009.10	LYPLA2	chr1	+	23790970	23795539	54.411079	37.512680	84.661690
ENSG00000117308.14	GALE	chr1	-	23795599	23800804	18.356426	10.196242	23.011715
ENSG00000117305.14	HMGCL	chr1	-	23801885	23825459	59.477261	24.597404	55.513432
ENSG00000179163.11	FUCA1	chr1	-	23845077	23868294	80.190033	32.600021	73.574394
ENSG00000189266.11	PNRC2	chr1	+	23959109	23963462	44.572540	29.463797	66.496315
ENSG00000142677.3	IL22RA1	chr1	-	24119771	24143121	0.000000	0.000000	0.000000
ENSG00000142661.18	MYOM3	chr1	-	24056035	24112175	0.050486	0.022204	0.050112
ENSG00000185436.11	IFNLR1	chr1	-	24154157	24187959	0.539915	0.237540	0.536099
ENSG00000188529.14	SRSF10	chr1	-	23964804	23980356	19.949072	20.289186	45.790295
ENSG00000158055.15	GRHL3	chr1	+	24319322	24364482	0.433676	1.423958	3.213705
ENSG00000001460.17	STPG1	chr1	-	24356999	24415097	4.571760	2.899584	6.544018
ENSG00000001461.16	NIPAL3	chr1	+	24415794	24472976	13.148612	9.753329	22.012112
ENSG00000184454.6	NCMAP	chr1	+	24556111	24609325	0.000000	0.000000	0.000000
ENSG00000117602.11	RCAN3	chr1	+	24502351	24541040	3.488210	4.091654	9.234380
ENSG00000133226.16	SRRM1	chr1	+	24641231	24673267	28.392975	24.033501	54.240768
ENSG00000169504.14	CLIC4	chr1	+	24745357	24844324	152.819901	62.126579	140.212341
ENSG00000020633.18	RUNX3	chr1	-	24899511	24965010	1.749141	0.747706	1.687484
ENSG00000117614.9	SYF2	chr1	-	25222679	25232493	89.354637	41.118000	92.798470
ENSG00000117616.17	RSRP1	chr1	-	25242237	25338213	2.886698	2.119734	4.783989
ENSG00000187010.19	RHD	chr1	+	25272393	25330445	0.000000	0.000000	0.000000
ENSG00000183726.10	TMEM50A	chr1	+	25337917	25362361	119.775551	48.692905	109.894135
ENSG00000188672.17	RHCE	chr1	-	25362249	25430192	0.706230	0.329935	0.744625
ENSG00000204178.9	TMEM57	chr1	+	25430858	25500209	26.593361	10.989592	24.802210
ENSG00000157978.11	LDLRAP1	chr1	+	25543580	25568886	24.765985	10.068230	22.722805
ENSG00000117643.14	MAN1C1	chr1	+	25617468	25786207	0.492922	1.806874	4.077901
ENSG00000182749.5	PAQR7	chr1	-	25861210	25871253	27.165609	11.043760	24.924461
ENSG00000162430.16	SELENON	chr1	+	25800176	25818224	118.216049	50.030842	112.913689
ENSG00000117640.17	MTFR1L	chr1	+	25818640	25832942	18.667639	21.923849	49.479538
ENSG00000127423.10	AUNIP	chr1	-	25831913	25859458	0.859914	0.604741	1.364830
ENSG00000117632.22	STMN1	chr1	-	25885440	25906991	21.679733	25.283606	57.062111
ENSG00000158008.9	EXTL1	chr1	+	26021780	26036464	1.689664	0.686907	1.550268
ENSG00000158014.14	SLC30A2	chr1	-	26037252	26046133	0.000000	0.000000	0.000000
ENSG00000158022.6	TRIM63	chr1	-	26051304	26067633	0.235593	0.095777	0.216157
ENSG00000158006.13	PAFAH2	chr1	-	25959767	25998157	21.135103	10.437357	23.555882
ENSG00000197245.5	FAM110D	chr1	+	26159020	26163962	1.325052	0.538679	1.215736
ENSG00000175087.9	PDIK1L	chr1	+	26111165	26125543	2.870766	2.050337	4.627369
ENSG00000236782.6	AL391650.1	chr1	-	26169516	26171821	4.046682	1.645116	3.712833
ENSG00000142684.8	ZNF593	chr1	+	26169871	26170873	86.560417	40.075161	90.444901
ENSG00000142675.17	CNKSR1	chr1	+	26177403	26189886	19.340921	8.719082	19.677938
ENSG00000130695.14	CEP85	chr1	+	26234153	26279038	4.711748	2.621554	5.916538
ENSG00000176083.17	ZNF683	chr1	-	26361634	26374522	0.250303	0.201591	0.454967
ENSG00000176092.14	CRYBG2	chr1	-	26321859	26360052	0.098249	0.041312	0.093237
ENSG00000142669.14	SH3BGRL3	chr1	+	26279176	26281522	195.773544	117.318100	264.773102
ENSG00000158062.20	UBXN11	chr1	-	26281328	26318363	8.725228	8.165334	18.428192
ENSG00000169442.8	CD52	chr1	+	26317957	26320523	10.989316	4.467537	10.082703
ENSG00000117682.16	DHDDS	chr1	+	26432316	26471294	19.204620	19.750006	44.573429
